Canada,Ottawa
Cuba,Havana
Usa,Washington
Mexico,Mexico City
Brazil,Brasilia
Chile,Santiago
Uruguay,Montevideo
Peru,Lima
France,Paris
Germany,Berlin
Italy,Rome
England,London
Switzerland,Bern
Spain,Madrid
Greece,Athens
Czech Republic,Prague
Netherlands,Amsterdam
Russia,Moscow
South Korea,Seoul
Japan,Tokyo
Singapore,Singapore
China,Beijing
Thailand,Bangkok
Nepal,Kathmandu
India,New Delhi
Vietnam,Hanoi
Philippines,Manila
Australia,Canberra
New Zeland,Wellington
Ghana,Accra
Uganda,Kampala
Senegal,Dakar
Morocco,Rabat
Nigeria,Abuja
Kenya,Nairobi
